Date,Open,Close,High,Low,Volume
19-Feb-16,163.660004,166.580002,167.490005,162.5,2959400
22-Feb-16,170.119995,177.740005,178.910004,169.850006,5060100
23-Feb-16,176.160004,177.210007,181.729996,173.679993,5984400
24-Feb-16,172.75,179,179.5,167.839996,5395600
25-Feb-16,178.649994,187.429993,188.520004,175.199997,5720500
26-Feb-16,188.699997,190.339996,192,185,6065100
29-Feb-16,192.399994,191.929993,196.350006,189.220001,4499000
1-Mar-16,194.25,186.350006,195.949997,182.699997,6712200
2-Mar-16,183.729996,188.339996,188.520004,181.5,4862400
3-Mar-16,188.279999,195.740005,197.419998,184.220001,4820500
4-Mar-16,198,201.039993,204.029999,197.5,6489100
7-Mar-16,197.679993,205.289993,209.699997,197.399994,5329400
8-Mar-16,203.5,202.600006,207.5,202.199997,4178700
9-Mar-16,204.520004,208.720001,209.369995,202.789993,3208600
10-Mar-16,210,205.179993,213.289993,200.669998,5183200
11-Mar-16,207.929993,207.5,209.419998,205.330002,3343100
14-Mar-16,212.649994,215.149994,216.720001,210.639999,4065700
15-Mar-16,214.270004,218.339996,218.970001,211.5,3180500
16-Mar-16,218,221.929993,222.580002,217.020004,3516700
17-Mar-16,221.470001,226.380005,228.5,220,3782900
18-Mar-16,229.100006,232.740005,234.479996,228.059998,4711800
21-Mar-16,235.339996,238.320007,239.880005,235,5307800
22-Mar-16,237.210007,234.240005,238.990005,232.559998,4316000
23-Mar-16,232.369995,222.580002,234.729996,222.029999,4948800
24-Mar-16,215.779999,227.75,228.889999,215,4960900
28-Mar-16,231.610001,230.259995,234.809998,225,3925700
29-Mar-16,229.889999,230.130005,232.380005,225.330002,4004900
30-Mar-16,235.089996,226.889999,235.5,226.5,4033000
31-Mar-16,229.339996,229.770004,237.419998,225.009995,8012900
1-Apr-16,244.830002,237.589996,247.899994,233.25,15997500
4-Apr-16,249.119995,246.990005,252.119995,243.639999,13475300
5-Apr-16,240.5,255.470001,256.559998,240,9948700
6-Apr-16,253.970001,265.420013,267.73999,253.449997,11679900
7-Apr-16,266.450012,257.200012,269.339996,254.509995,8856200
8-Apr-16,260.5,250.070007,260.820007,248.020004,7363900
11-Apr-16,251,249.919998,258.98999,245.300003,9161700
12-Apr-16,249.5,247.820007,251.800003,243.630005,5750800
13-Apr-16,248.509995,254.529999,255.5,247.330002,4925600
14-Apr-16,253,251.860001,256.839996,251.050003,4120000
15-Apr-16,251.309998,254.509995,254.600006,249.119995,3752400
18-Apr-16,252.229996,253.880005,258.309998,251.660004,4261800
19-Apr-16,253.119995,247.369995,254.369995,241.25,6357500
20-Apr-16,246.259995,249.970001,253.660004,241.5,5194100
21-Apr-16,248.990005,248.289993,250.899994,246.910004,2783100
22-Apr-16,248.889999,253.75,254,245.710007,3786300
25-Apr-16,253.009995,251.820007,257.380005,250.759995,3670300
26-Apr-16,252.050003,253.740005,255.729996,249.389999,3223800
27-Apr-16,252.75,251.470001,255,249.399994,3205800
28-Apr-16,249.850006,247.710007,253.429993,247.440002,2519000
29-Apr-16,248.139999,240.759995,248.429993,237.809998,5413800
2-May-16,241.5,241.800003,243.190002,234.820007,3843900
3-May-16,237.360001,232.320007,238.910004,231.619995,4302200
4-May-16,230.289993,222.559998,234.460007,220.399994,8262500
5-May-16,228.460007,211.529999,228.639999,209.789993,11254800
6-May-16,210.869995,214.929993,216.369995,208.110001,5685200
9-May-16,215.720001,208.919998,216.149994,206.800003,4776400
10-May-16,207.550003,208.690002,209.470001,205,4065200
11-May-16,207.589996,208.960007,215.479996,206.050003,5161900
12-May-16,211.440002,207.279999,211.669998,203.660004,3650500
13-May-16,207.779999,207.610001,211.199997,206.699997,2822800
16-May-16,208.149994,208.289993,213.149994,207.919998,2949400
17-May-16,209.050003,204.660004,209.820007,204.020004,2843600
18-May-16,209.149994,211.169998,215.309998,207.75,5617500
19-May-16,213.619995,215.210007,216.789993,207.300003,6866300
20-May-16,216.990005,220.279999,220.550003,216.350006,9007100
23-May-16,219.869995,216.220001,222.600006,215.860001,5093200
24-May-16,216.600006,217.910004,218.740005,215.179993,3013800
25-May-16,217.910004,219.580002,221.360001,216.509995,3126800
26-May-16,220.5,225.119995,225.259995,219.050003,4064000
27-May-16,224.990005,223.039993,225.929993,220.75,3650300
31-May-16,223.039993,223.229996,224.75,221.5,2789000
1-Jun-16,221.479996,219.559998,222.399994,216.889999,2982700
2-Jun-16,219.589996,218.960007,219.910004,217.110001,2009400
3-Jun-16,220,218.990005,221.940002,218.009995,2229000
6-Jun-16,218,220.679993,220.899994,215.449997,2249500
7-Jun-16,222.240005,232.339996,234.440002,221.520004,6213600
8-Jun-16,233.800003,235.520004,240.850006,232.610001,5972000
9-Jun-16,234.979996,229.360001,235.330002,227.059998,4492100
10-Jun-16,227.389999,218.789993,227.970001,218.419998,6026600
13-Jun-16,219.5,217.869995,225.770004,217.660004,4193000
14-Jun-16,218.880005,214.960007,222.199997,212.529999,3580200
15-Jun-16,216.949997,217.699997,221.899994,215.130005,2908500
16-Jun-16,217.419998,217.929993,218.039993,213.5,2440300
17-Jun-16,217.809998,215.470001,219.990005,214.5,3112600
20-Jun-16,219.5,219.699997,223.75,218.229996,3555500
21-Jun-16,220.679993,219.610001,222.570007,218.809998,4529000
22-Jun-16,199.470001,196.660004,205.949997,195.75,23742400
23-Jun-16,195.690002,196.399994,197.550003,192.130005,10130700
24-Jun-16,190.050003,193.149994,195.119995,189.729996,7026500
27-Jun-16,190.860001,198.550003,198.809998,187.869995,7205400
28-Jun-16,201.889999,201.789993,204.050003,199.410004,6212400
29-Jun-16,205.130005,210.190002,211.779999,203,5994900
30-Jun-16,212.970001,212.279999,213.5,209.020004,4843100
1-Jul-16,206.139999,216.5,218.240005,206,5400000
5-Jul-16,209.729996,213.979996,214.539993,208,5175300
6-Jul-16,210,214.440002,215.229996,209,4919900
7-Jul-16,213.100006,215.940002,218.119995,213.009995,3599700
8-Jul-16,217.800003,216.779999,219.809998,214.5,4074800
11-Jul-16,219.960007,224.779999,226.779999,219.509995,5429800
12-Jul-16,224.100006,224.649994,227.5,223.220001,4571300
13-Jul-16,225.5,222.529999,225.589996,220.289993,3567100
14-Jul-16,223.119995,221.529999,224.940002,221.050003,2675800
15-Jul-16,222.520004,220.399994,222.75,219.639999,2234200
18-Jul-16,219.639999,226.25,227.089996,218.300003,3412100
19-Jul-16,225,225.259995,229.100006,224.75,3115100
20-Jul-16,226.470001,228.360001,229.800003,225,2568500
21-Jul-16,226,220.5,227.850006,219.100006,4428700
22-Jul-16,221.990005,222.270004,224.5,218.880005,2579700
25-Jul-16,222.270004,230.009995,231.389999,221.369995,4490700
26-Jul-16,227.690002,229.509995,230,225.300003,3430000
27-Jul-16,229.339996,228.490005,233.360001,226.919998,2885200
28-Jul-16,227.949997,230.610001,230.759995,226.600006,2419100
29-Jul-16,230.699997,234.789993,235.279999,230.240005,3070800
1-Aug-16,235.5,230.009995,236.630005,229.380005,4016300
2-Aug-16,229.369995,227.199997,229.869995,221.399994,3934400
3-Aug-16,227.369995,225.789993,229.699997,224.210007,3887800
4-Aug-16,225.690002,230.610001,230.860001,222.050003,4122800
5-Aug-16,230,230.029999,232,227.399994,3205200
8-Aug-16,228,226.160004,229.600006,226.089996,2263600
9-Aug-16,226.820007,229.080002,231.539993,226.649994,2207800
10-Aug-16,228.240005,225.649994,229.869995,224.619995,2338300
11-Aug-16,226.169998,224.910004,227.570007,223.410004,1875800
